"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"140",2501601,"Kurtzman,C.P.","Cletus Paul Kurtzman",NA,2,1,3,5,NA,9,2,4,1,8,2,2,4,4,8,3,2,3,1,1
"141",2507027,"Afonso,C.L.","Claudio L.  Afonso",NA,NA,1,2,4,4,2,2,1,3,6,3,2,4,NA,8,5,3,4,4,3
"142",2510512,"Rosenthal,B.M.","Benjamin M.  Rosenthal",1,1,1,2,5,2,1,2,4,5,2,2,2,3,4,4,4,1,3,5,6
"143",2511104,"Morikawa,S.","Shigeru  Morikawa",NA,1,2,NA,1,3,NA,2,2,1,4,1,2,2,2,3,6,5,4,5,NA
"144",2515416,"Moran,N.A.","Nancy A.  Moran",2,2,3,8,8,5,6,NA,7,7,3,7,12,4,6,8,6,7,NA,3,NA
"145",2518197,"Swings,J.","Jean  Swings",2,3,3,3,11,15,27,28,33,23,6,4,2,NA,1,1,NA,1,3,NA,NA
"146",2525306,"Conrad,P.A.","Patricia A. Conrad",1,1,3,4,3,1,NA,1,4,1,1,1,1,3,2,2,NA,2,2,NA,NA
"147",2542440,"Huchon,D.","Dorothée  Huchon",NA,NA,3,1,1,4,2,NA,1,9,3,2,5,3,NA,5,3,3,1,3,3
"148",2542871,"Briese,T.","Thomas  Briese",NA,NA,1,NA,1,1,NA,1,NA,3,5,6,3,9,6,3,7,6,NA,4,NA
"149",2548987,"Massana,R.","Ramon  Massana",1,NA,NA,2,1,6,5,7,6,4,5,5,3,1,5,7,4,1,1,NA,NA
"150",2549797,"Schluter,A.A.","And Andreas Schlüter",1,NA,NA,1,NA,NA,3,3,3,2,4,NA,2,NA,5,5,2,4,3,4,NA
"151",2557304,"Sorokin,D.Y.","Dimitry Yu. Sorokin",NA,1,NA,NA,2,2,1,3,3,6,13,21,3,6,7,12,3,9,9,7,5
"152",2565838,"Sata,T.","Tetsutaro  Sata",2,NA,NA,1,3,NA,4,2,6,3,6,NA,1,5,1,3,1,NA,1,NA,NA
"153",2569654,"Bisseling,T.","Ton  Bisseling",1,1,NA,NA,NA,3,5,4,NA,NA,1,1,NA,NA,7,2,NA,1,NA,NA,1
"154",2570817,"Saunders,G.W.","Gary W.  Saunders",2,2,2,2,2,3,1,1,2,NA,6,5,2,6,6,3,7,3,9,7,6
"155",2571951,"Yamato,K.T.","Katsuyuki T.  Yamato",NA,NA,2,2,4,1,3,3,1,2,3,NA,1,1,NA,2,NA,2,1,4,1
"156",2587029,"Kawazu,S.","Shin-ichiro  Kawazu",NA,1,2,1,1,NA,2,NA,1,NA,1,NA,2,1,1,NA,1,NA,NA,4,1
"157",2592873,"Whitman,W.B.","William Barney Whitman",6,NA,6,NA,1,2,6,2,1,5,4,4,4,3,6,3,1,1,NA,2,7
"158",2618863,"Ryder,O.A.","Oliver A.  Ryder",NA,2,1,1,10,NA,1,6,3,3,1,1,7,3,9,3,2,1,1,NA,NA
"159",2623566,"Newcomb,R.D.","Richard D.  Newcomb",2,NA,NA,3,2,2,NA,NA,2,6,4,3,3,NA,1,3,1,3,1,1,1
"160",2632988,"Boni,J.","Jürg  Böni",2,NA,NA,NA,NA,1,NA,2,1,NA,4,3,NA,4,3,NA,NA,1,1,3,NA
"161",2639444,"Delsuc,F.","Frédéric  Delsuc",NA,NA,1,NA,1,1,3,NA,1,1,6,2,2,5,3,7,2,1,NA,3,NA
